Location,Item Number,Qty On Hand
351067,32078C20463,1449
351067,A173040EL6MMTG,132
351067,A300135TB166MM,388
351067,L00160964706HAA,45.8
351067,L00160964706HAA,40
351067,L00160964706HAA,50
351067,L00160964706HAA,30.7
351067,L00160964706HAA,50
351067,L00160964706HAA,47.4
351067,L00160964706HAA,47.9
351067,L00160964706HAA,40.8
351067,L00160964706HAA,50
351067,L00160964706HAA,42.7
351067,L00160964706HAA,40.8
351067,L00160964706HAA,40
351067,L00160964706HAA,42.5
351067,L00160964706HAA,50
351067,L00160964706HAA,40.5
351067,L00160964706HAA,50
351067,L00160964706HAA,50
351067,L00160964706HAA,50
351067,L00160964706HAA,50
351067,L00160964706HAA,42
351067,L00160964706HAA,41.2
351067,L00160964706HAA,40.1
351067,L00160964706HAA,50
351067,L00160964706HAA,50
351067,L00160964706HAA,50
351067,L00160964706HAA,50
351067,L00160964706HAA,43.9
351067,L00160964706HAA,33
351067,L00160964806HAA,50
351067,L00160964806HAA,50
351067,L00160964806HAA,47.5
351067,L00160964806HAA,50
351067,L00160964806HAA,50
351067,L00160964806HAA,43.5
351067,L00160964806HAA,50
351067,L00160964806HAA,46.1
351067,L00160964806HAA,50
351067,L00160964806HAA,40
351067,L00160964806HAA,30
351067,L00160964806HAA,40.7
351067,L00160964806HAA,40
351067,L00160964806HAA,50
351067,L00160964806HAA,50
351067,L00160964806HAA,50
351067,L00160964806HAA,32
351067,L00160964806HAA,42.7
351067,L00160964806HAA,50
351067,L00160964806HAA,42.7
351067,L00160964806HAA,42.9
351067,L00160964806HAA,39.3
351067,L00160964806HAA,48.4
,,
p 8056,,ventory Detai
2,,
,,
,,
Location,Item Number,Qty On Hand
--------,------------------,------------
351067,L00160964806HAA,42.9
351067,L00160964806HAA,50
351067,L00160964806HAA,50
351067,L00160964806HAA,40.7
351067,L00160964806HAA,50
351067,L00160964806HAA,39.1
351067,L00160964806HAA,50
351067,L00160964806HAA,50
351067,L00160964806HAA,39.2
351067,L00160964806HAA,69
351067,L002274212GKAAA,32.8
351067,L002274212GKAAA,29.52
351067,L002274212GKAAA,32.8
351067,L00274901728JAA,119.4
351067,L00274901728JAA,84.9
351067,L00274901728JAA,119.9
351067,L00274901728JAA,119.7
351067,L00274901728JAA,119.4
351067,L002921806HXWAA,44.701
351067,L002921806HXWAA,44.018
351067,L002921806HXWAA,44.155
351067,L002921806HXWAA,41.967
351067,L002921806HXWAA,41.557
351067,L002921806HXWAA,42.924
351067,L002921806HXWAA,39.51
351067,L002921806HXWAA,45.11
351067,L002921806HXWAA,46.89
351067,L002921806HXWAA,28.3
351067,L002921806HXWAA,36.636
351067,L002921806HXWAA,44.87
351067,L002921806HXWAA,45.52
351067,L002921806HXWAA,44.43
351067,L002921806HXWAA,43.88
351067,L002921807HXWAA,31.305
351067,L002921807HXWAA,53.177
351067,L002921807HXWAA,54.954
351067,L002921807HXWAA,44.018
351067,L002921807HXWAA,49.486
351067,L002921807HXWAA,36.089
351067,L002921807HXWAA,51.126
351067,L002921807HXWAA,50.579
351067,L002921807HXWAA,46.478
351067,L002921807HXWAA,45.385
351067,L002921807HXWAA,45.658
351067,L002921807HXWAA,45.522
351067,L002921807HXWAA,45.39
351067,L002921807HXWAA,45.39
351067,L002921807HXWAA,39.37
351067,L002921807HXWAA,45.11
351067,L002999841HXWAA,24.8
351067,L002999841HXWAA,22.9
351067,L002999841HXWAA,33
351067,L002999841HXWAA,31.4
351067,L002999841HXWAA,35.2
,,
p 8056,,ventory Detai
3,,
,,
,,
Location,Item Number,Qty On Hand
--------,------------------,------------
351067,L002999841HXWAA,34.3
351067,L002999841HXWAA,22.4
351067,L002999841HXWAA,35.2
351067,L002999841HXWAA,38.2
351067,L002999841HXWAA,39.3
351067,L002999841HXWAA,28.4
351067,L002999841HXWAA,28.2
351067,L002999841HXWAA,28.3
351067,L002999841HXWAA,49
351067,M17G9803CFF60,833
351067,M17G9803CXC60,660
,,
354808,L00160854073DAA,165
354808,L002389203NCPAA,250
354808,L002389203NCPAA,250
354808,L002389203NCPAA,250
354808,L002389203NCPAA,250
354808,L002389203NCPAA,250
354808,L002389203NCPAA,250
354808,L002389203NCPAA,250
354808,L002389203NCPAA,250
354808,L002389203NCPAA,250
354808,L002389203NCPAA,250
354808,L002389203NCPAA,250
354808,L002389203NCPAA,250
354808,L002389203NCPAA,250
354808,L002389203NCPAA,250
354808,L002389203NCPAA,250
354808,L002389203NCPAA,250
354808,L002389203NCPAA,250
354808,L002389203NCPAA,250
354808,L002389203NCPAA,250
354808,L002389203NCPAA,250
354808,L002389203NCPAA,250
354808,L002389203NCPAA,250
354808,L002389203NCPAA,250
354808,L002389203NCPAA,250
354808,L002389203NCPAA,250
354808,L002389203NCPAA,250
354808,L002389203NCPAA,250
354808,L002389203NCPAA,250
354808,L002389203NCPAA,250
354808,L002389203NCPAA,250
354808,L002389203NCPAA,250
354808,L002389203NCPAA,250
354808,M1G3FJXSDLAA600R59,64.75
354808,M1G3FJXSDLAA600R59,116.5
354808,M1G3FJXSDLAA600R59,80.125
354808,M1G3FJXSDLAA600R59,86
354808,M1G3FJXSDLAA600R59,98.25
354808,M1G3FJXSDLAA600R59,83.625
354808,M1G3FJXSDLAA600R59,71.125
354808,M1G4FJDSSLAA600R59,107.25
354808,M1G4FJDSSLAA600R59,102
,,
p 8056,,ventory Detai
4,,
,,
